Date,Year,Village,Block,District,State,Location,Mango (કેરી),Lemon (લીંબુ),Chiku (ચીકુ),Guava (જમરૂખ),Saag (સાગ),Aamala (આમળાં),Mahuda (મહુડો),Neem (લીમડો)
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6920232,73.5932435",30,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6920483,73.59322",30,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6919667,73.5931667",30,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6919417,73.5932233",30,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6921765,73.5929441",30,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6920333,73.5931783",30,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.69233,73.593155",30,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.692,73.5932883",10,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6920217,73.5930617",30,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6921117,73.594025",15,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6927067,73.594175",20,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6920283,73.5932067",20,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6920617,73.5930233",30,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6913583,73.5925333",10,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.69219,73.5925617",10,1,0,0,0,0,0,0
2025-06-12,2025,Chikhalada,Waghai,Dang,Gujarat,"20.692175,73.59296",20,1,0,0,0,0,0,0
2025-06-20,2025,Chikhalada,Waghai,Dang,Gujarat,"20.6926143,73.5932779",30,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.8071759,73.5178056",30,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.8071441,73.5178145",50,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.8072006,73.5178698",40,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.8071729,73.5178173",40,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.8071589,73.5177682",35,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.807124,73.5178259",35,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.8073754,73.5177454",30,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.8071672,73.5178295",30,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.8073367,73.5178822",50,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.8073959,73.5177175",60,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.8072172,73.5179106",30,1,0,0,0,0,0,0
2025-06-21,2025,Gira,Waghai,Dang,Gujarat,"20.8072702,73.5178839",50,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8165425,73.5314705",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8165301,73.531506",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8166587,73.5314987",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8166974,73.5314788",25,1,0,0,0,0,0,0
2025-06-21,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8174489,73.531584",50,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8167107,73.5315036",25,1,0,0,0,0,0,0
2025-06-21,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8175135,73.5315628",50,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8167107,73.5315036",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8167107,73.5315036",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8167107,73.5315036",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8166974,73.5314788",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8166974,73.5314788",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8167107,73.5315036",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8166587,73.5314987",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8166625,73.5313108",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8166625,73.5313108",25,1,0,0,0,0,0,0
2025-06-23,2025,Dabdar (Gira),Waghai,Dang,Gujarat,"20.8164126,73.5311961",25,1,0,0,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.76425,73.6039017",30,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.7641083,73.6031767",7,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.7684067,73.6066983",50,0,,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.7641733,73.6033283",20,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.759479,73.6010558",20,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.7642733,73.6025767",10,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.76466,73.6045633",40,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.7646317,73.604435",40,0,0,0,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.76375,73.6036617",20,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.76411,73.6032633",30,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.764655,73.60477",30,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.7641167,73.60315",30,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.76549,73.60585",30,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.7635033,73.6019767",20,0,0,1,0,0,0,0
2025-06-25,2025,Aamsarvaran,Waghai,Dang,Gujarat,"20.7646317,73.604435",50,0,0,1,0,0,0,0
2024-06-28,2024,Vanarchond,Waghai,Dang,Gujarat,"20.7730044,73.4977106",50,0,0,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7276133,73.4939317",50,1,1,0,0,0,0,0
2024-07-03,2024,Vanarchond,Waghai,Dang,Gujarat,"20.7730015,73.494649",50,0,0,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.724455,73.4969283",50,1,1,0,0,0,0,0
2024-07-03,2024,Vanarchond,Waghai,Dang,Gujarat,"20.7730014,73.4946501",50,0,0,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.72687,73.49212",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7266767,73.493925",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.725885,73.4910483",30,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7254833,73.492735",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7285867,73.49343",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.725235,73.4888217",30,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7723067,73.4970017",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7288433,73.4970033",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7287017,73.4932017",30,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7269767,73.4942633",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7286517,73.4970633",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7259283,73.493555",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7270267,73.4940783",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7268833,73.4944767",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7254967,73.4928533",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7270284,73.4940966",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7254367,73.4928817",30,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7287383,73.4970483",30,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.725905,73.4935383",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7268833,73.49222",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.725365,73.4888183",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.72544,73.4928067",50,1,1,0,0,0,0,0
2025-06-21,2025,Vanarchond,Waghai,Dang,Gujarat,"20.7258833,73.4909133",50,1,1,0,0,0,0,0
2024-07-03,2024,Godadiya,Waghai,Dang,Gujarat,"20.7730128,73.4946794",50,0,0,0,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.71619,73.5792817",30,1,0,0,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7159551,73.5793983",20,1,0,0,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7173433,73.5785317",10,0,0,1,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7161683,73.57922",20,1,0,0,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7162383,73.57931",20,1,0,0,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.71682,73.5786333",20,0,0,1,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7168883,73.578885",20,1,0,0,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.716915,73.578835",20,0,0,1,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7162017,73.5792117",10,1,0,0,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7172183,73.5785033",15,0,0,1,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7160917,73.5792117",10,1,0,0,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7162283,73.5792617",20,1,0,0,0,0,0,0
2025-06-25,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7444116,73.5843335",20,0,0,1,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7162067,73.57932",20,1,0,0,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7162,73.5792783",30,1,0,0,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.71722,73.5784383",30,0,0,1,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.716155,73.5792433",30,1,0,0,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7162067,73.5793183",20,1,0,0,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.718994,73.5780187",25,,0,5,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7161483,73.5792267",20,1,0,0,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7171917,73.578425",100,0,0,1,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.717151,73.5783682",15,1,0,0,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7166384,73.5788767",20,0,0,1,0,0,0,0
2024-07-03,2024,Vaghmal,Waghai,Dang,Gujarat,"20.7160667,73.5793733",20,1,0,0,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7167017,73.5789033",30,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7216317,73.578715",20,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7166468,73.578775",20,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7166767,73.57887",100,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.717315,73.57852",30,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7172284,73.5784646",20,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7168933,73.578785",20,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7172133,73.578465",30,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7167532,73.5788818",20,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.716845,73.57866",20,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7167,73.5789183",15,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7166633,73.578775",15,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7173033,73.5785983",20,0,0,1,0,0,0,0
2025-06-21,2025,Vaghmal,Waghai,Dang,Gujarat,"20.7171817,73.5791832",25,0,0,1,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7425603,73.5610691",20,1,0,0,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7441233,73.5831483",10,1,0,0,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7441367,73.582975",10,1,0,0,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7425603,73.5610691",30,1,0,0,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.74393,73.582215",20,0,0,1,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7439567,73.5828433",15,1,0,0,0,0,0,0
2024-06-25,2024,Lavariya,Waghai,Dang,Gujarat,"20.7444928,73.5844507",30,1,0,0,0,0,0,0
2024-07-03,2024,Lavariya,Waghai,Dang,Gujarat,"20.7509031,73.5687987",30,1,0,0,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7425603,73.5610691",10,1,0,0,0,0,0,0
2024-06-25,2024,Lavariya,Waghai,Dang,Gujarat,"20.7439917,73.58224",10,1,0,0,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.74379,73.5819717",15,0,0,1,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7446133,73.5859567",10,1,0,0,0,0,0,0
2024-07-01,2024,Lavariya,Waghai,Dang,Gujarat,"20.7492044,73.5699029",20,1,0,0,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.74468,73.5822167",10,0,0,1,0,0,0,0
2024-06-25,2024,Lavariya,Waghai,Dang,Gujarat,"20.7439017,73.5821717",5,1,0,0,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.743865,73.5821333",5,0,0,1,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7425603,73.5610691",20,1,0,0,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7446133,73.5859567",20,1,0,0,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7425603,73.5610691",30,1,0,0,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.7438467,73.5820983",50,0,0,1,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7431333,73.583195",20,1,0,0,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7446133,73.5859567",20,1,0,0,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.7438467,73.5820983",30,0,0,1,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7446133,73.5859567",20,1,0,0,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7444933,73.5844526",20,1,0,0,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.744185,73.5831983",20,1,0,0,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7425603,73.5610691",20,1,0,0,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7444873,73.5844478",20,1,0,0,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.7439267,73.582095",20,0,0,1,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7438541,73.5826597",20,1,0,0,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.7437905,73.5819719",30,0,0,1,0,0,0,0
2024-06-30,2024,Lavariya,Waghai,Dang,Gujarat,"20.7439768,73.5836679",20,1,0,0,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.7438132,73.5819701",20,0,0,1,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.7438233,73.5821167",50,0,0,1,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.7438467,73.5820983",30,0,0,1,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.7493283,73.5966167",30,0,0,1,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.74382,73.581975",15,0,0,1,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.7430867,73.5814633",20,0,0,1,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.7439083,73.582095",20,0,0,1,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.743995,73.5822883",30,0,0,1,0,0,0,0
2025-06-25,2025,Lavariya,Waghai,Dang,Gujarat,"20.7438765,73.5821365",20,0,0,1,0,0,0,0
2024-07-06,2024,Bhendmal,Waghai,Dang,Gujarat,"20.77682,73.5085017",30,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.76475,73.60545",40,0,0,1,0,0,0,0
2024-07-06,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7730125,73.4947807",30,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7310783,73.6019267",40,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",20,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",30,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.730895,73.6021367",20,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",10,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7309817,73.6021167",20,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",30,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7308633,73.6025483",20,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",30,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",30,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.731035,73.6021117",10,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",30,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",30,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7308033,73.601925",10,0,,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",10,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",10,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",30,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7375317,73.550715",20,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309583,73.6024483",30,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",20,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7309717,73.6020833",10,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",20,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.730915,73.602285",20,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",15,1,0,0,0,0,0,0
2024-07-06,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7730171,73.4947854",15,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7310883,73.6018167",20,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",30,1,0,0,0,0,0,0
2024-07-06,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7730125,73.4947807",10,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309583,73.6024483",20,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7308733,73.6025817",30,0,0,1,0,0,0,0
2024-07-06,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7730086,73.4947807",20,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",30,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",15,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",15,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",10,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7307583,73.6023633",10,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",5,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",20,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7308467,73.6023283",20,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",15,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",10,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",10,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7310617,73.6027033",10,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",15,1,0,0,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",20,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.7309783,73.6021633",10,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",20,1,0,0,0,0,0,0
2025-06-25,2025,Bhendmal,Waghai,Dang,Gujarat,"20.73101,73.6020667",20,0,0,1,0,0,0,0
2024-07-05,2024,Bhendmal,Waghai,Dang,Gujarat,"20.7309033,73.6026167",10,1,0,0,0,0,0,0
